shuffle,test_unit,model_idx,model_unit,mouse,date,step,labels_this_video,total_labels,median_frame_rmse_px,p90_frame_rmse_px,frac_frames_rmse_gt_50px,frac_points_conf_ge_0.6,median_pupil_top_px,median_pupil_bottom_px,median_pupil_left_px,median_pupil_right_px,median_eyelid_top_px,median_eyelid_bottom_px,median_eye_nasal_corner_px,median_eye_temporal_corner_px
324,1_20251031_Pluto_spont_1,15.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,4.0,80.0,280.0,12.17,20.19,0.0,0.932,9.73,6.38,11.86,3.16,7.46,8.25,12.42,12.84
324,2_20251031_pluton2,15.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,4.0,80.0,280.0,7.56,19.68,0.02,0.917,14.0,2.09,3.36,3.55,4.87,1.34,5.56,4.97
324,3_20251031_pluto3,15.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,4.0,80.0,280.0,4.88,22.12,0.0,0.877,3.42,3.02,3.22,1.72,1.64,4.08,1.44,2.14
411,0_first5minvedio,16.0,3_20251031_pluto3,mouse B (Pluto),2025-10-31,1.0,20.0,280.0,12.25,17.93,0.0,0.97,11.14,3.8,8.07,5.04,12.7,5.72,15.93,11.31
411,1_20251031_Pluto_spont_1,16.0,3_20251031_pluto3,mouse B (Pluto),2025-10-31,1.0,20.0,280.0,12.17,20.13,0.0,0.99,9.32,5.92,13.35,3.35,7.97,5.93,13.23,13.28
411,2_20251031_pluton2,16.0,3_20251031_pluto3,mouse B (Pluto),2025-10-31,1.0,20.0,280.0,6.98,15.57,0.02,0.962,12.59,1.65,3.25,3.14,5.59,1.47,3.15,5.17
411,3_20251031_pluto3,16.0,3_20251031_pluto3,mouse B (Pluto),2025-10-31,1.0,20.0,280.0,3.4,21.32,0.0,0.955,3.33,2.54,2.31,1.81,1.31,2.69,1.2,1.86
422,0_first5minvedio,17.0,3_20251031_pluto3,mouse B (Pluto),2025-10-31,2.0,40.0,300.0,12.24,17.71,0.0,0.947,12.31,4.7,8.27,5.62,12.44,5.68,16.14,10.77
422,1_20251031_Pluto_spont_1,17.0,3_20251031_pluto3,mouse B (Pluto),2025-10-31,2.0,40.0,300.0,11.85,19.85,0.0,0.963,8.23,6.25,13.08,3.19,7.86,6.0,13.26,12.41
422,2_20251031_pluton2,17.0,3_20251031_pluto3,mouse B (Pluto),2025-10-31,2.0,40.0,300.0,7.36,15.15,0.02,0.904,12.82,1.8,2.99,3.03,5.13,1.16,4.43,4.51
